"Contacto","Título","Etapa","Estado","Importe (Bs)","Responsable","Origen del contacto","Motivo de pérdida","Fecha prevista","Creada","Ganada/Perdida"
"TOTAL","TOTAL – Facturación electrónica","Nuevo contacto","Abierta","4020.50","Rosa Quispe Ccahuana","","","","21/09/2026 10:53",""
"Valeria Cruz","Valeria Cruz – Facturación electrónica","Reunión","Abierta","160.00","Rosa Quispe Ccahuana","Evento","","","10/09/2026 09:00",""
"Diego Ramos","Diego Ramos – Facturación electrónica","Contactado","Abierta","220.00","Rosa Quispe Ccahuana","Redes sociales","","","09/09/2026 09:00",""
"Patricia Núñez","Patricia Núñez – Facturación electrónica","Primer contacto","Abierta","100.00","Rosa Quispe Ccahuana","Web","","","08/09/2026 09:00",""
"Roberto Salas","Roberto Salas – Facturación electrónica","Negociación","Abierta","320.00","Rosa Quispe Ccahuana","Referido","","","07/09/2026 09:00",""
"Ana María Choque","Ana María Choque – Facturación electrónica","Contactado","Abierta","130.00","Rosa Quispe Ccahuana","WhatsApp","","","05/09/2026 09:00",""
"Jorge Luis Cáceres","Jorge Luis Cáceres – Facturación electrónica","Reunión","Abierta","480.00","Rosa Quispe Ccahuana","Referido","","","28/08/2026 09:00",""
"Sofía Apaza Larico","Sofía Apaza Larico – Facturación electrónica","Propuesta enviada","Abierta","250.00","Rosa Quispe Ccahuana","Web","","","01/09/2026 09:00",""
"Pedro Condori","Pedro Condori – Facturación electrónica","Negociación","Abierta","1200.00","Rosa Quispe Ccahuana","Llamada entrante","","","21/09/2026 10:53",""
"Rosa Elena Huamán","Rosa Elena Huamán – Facturación electrónica","Propuesta enviada","Abierta","350.50","Rosa Quispe Ccahuana","Web","","","03/09/2026 09:00",""
"Carlos Alberto Mamani","Carlos Alberto Mamani – Facturación electrónica","Reunión","Abierta","200.00","Rosa Quispe Ccahuana","Facebook","","","15/08/2026 09:00",""
"María Ñahui Ccama","María Ñahui Ccama – Facturación electrónica","Contactado","Abierta","150.00","Rosa Quispe Ccahuana","WhatsApp","","","02/08/2025 09:00",""
"Juan Pérez Quispe","Juan Pérez Quispe – Facturación electrónica","Primer contacto","Abierta","120.00","Rosa Quispe Ccahuana","Referido","","","12/08/2026 09:00",""
"Elena Huanca Torres","Elena Huanca Torres – Facturación electrónica","Contactado","Abierta","0.00","Carlos Mamani Huanca","Referido","","","21/09/2026 04:52",""
